,name,impervious_fraction,max_3day_rain_mm,peak_30min_intensity_mm,year
834,Doddkammanahalli Lake,0.3576941986234025,99.87499761022627,8.489999771118164,2025
142,Dore Kere,0.2558164541212105,78.03999843634665,6.565000057220459,2020
304,Dore Kere,0.2042126089481071,68.39499835297465,5.554999828338623,2021
466,Dore Kere,0.2404677126504226,105.12999767344444,8.84999942779541,2022
628,Dore Kere,0.319696834706097,70.91499849408865,5.704999923706055,2023
790,Dore Kere,0.3087259868693909,78.6149985678494,10.074999809265137,2024
952,Dore Kere,0.3118995757283428,93.39999744854867,9.050000190734863,2025
72,Dubasi Palya Kere,0.7293505839277054,76.58999805338681,6.224999904632568,2020
234,Dubasi Palya Kere,0.724285372012017,91.11499709263444,10.389999389648438,2021
396,Dubasi Palya Kere,0.6773284923545716,103.65999781433491,8.96500015258789,2022
558,Dubasi Palya Kere,0.7446506570338567,62.49999810196459,5.815000057220459,2023
720,Dubasi Palya Kere,0.7830313864980931,78.37999894283712,8.875,2024
882,Dubasi Palya Kere,0.704703367183325,102.7549975151196,8.324999809265137,2025
78,Gantiganahalli Lake,0.0097659187237398,72.05499899107963,7.204999923706055,2020
240,Gantiganahalli Lake,0.0059172505654841,68.73999839555472,9.994999885559082,2021
402,Gantiganahalli Lake,0.0016603903298376,127.49449767544866,10.699999809265137,2022
564,Gantiganahalli Lake,0.001632768309563,60.35999889485538,6.355000019073486,2023
726,Gantiganahalli Lake,0.0016603903298376,77.57499824557453,5.179999828338623,2024
888,Gantiganahalli Lake,0.0004849199114867704,99.66999763716012,8.434999465942383,2025
38,Garudacharpalya Lake,0.9279515008568427,76.81999846175313,7.144999980926514,2020
200,Garudacharpalya Lake,0.9396985387606184,63.28999811597168,5.569999694824219,2021
362,Garudacharpalya Lake,0.9326503160183532,97.71999745536596,8.40999984741211,2022
524,Garudacharpalya Lake,0.9295177725773464,70.4099979000166,6.529999732971191,2023
686,Garudacharpalya Lake,0.9263852291363396,84.55499797128141,7.349999904632568,2024
848,Garudacharpalya Lake,0.9396985387606184,97.16499748453498,7.514999866485596,2025
23,Goshala Lake,0.7832318374591946,76.81999846175313,7.144999980926514,2020
185,Goshala Lake,0.770081903024608,63.28999811597168,5.569999694824219,2021
347,Goshala Lake,0.8012584874197325,97.71999745536596,8.40999984741211,2022
509,Goshala Lake,0.7425567133148464,70.4099979000166,6.529999732971191,2023
671,Goshala Lake,0.742050001689039,84.55499797128141,7.349999904632568,2024
833,Goshala Lake,0.734777922113817,97.16499748453498,7.514999866485596,2025
48,Gottigere Tank,0.3329513017240585,78.96999865118414,6.244999885559082,2020
210,Gottigere Tank,0.2954650901973557,74.524997969158,5.784999847412109,2021
372,Gottigere Tank,0.3092950441384778,105.51499754469842,7.734999656677246,2022
534,Gottigere Tank,0.2863332032582278,70.2199983606115,5.464999675750732,2023
696,Gottigere Tank,0.2669540609550381,90.87999772280456,7.404999732971191,2024
858,Gottigere Tank,0.2563319434757092,94.41999849583954,7.704999923706055,2025
39,Gowdana Kere,0.9490795925138552,78.03999843634665,6.565000057220459,2020
201,Gowdana Kere,1.0,68.39499835297465,5.554999828338623,2021
363,Gowdana Kere,1.0,105.12999767344444,8.84999942779541,2022
525,Gowdana Kere,1.0,70.91499849408865,5.704999923706055,2023
687,Gowdana Kere,0.979631837005542,78.6149985678494,10.074999809265137,2024
849,Gowdana Kere,0.9012927485653192,93.39999744854867,9.050000190734863,2025
21,Gubbalala Kere,0.8456606161900426,78.96999865118414,6.244999885559082,2020
183,Gubbalala Kere,0.9913943542539724,74.524997969158,5.784999847412109,2021
345,Gubbalala Kere,0.867720072261616,105.51499754469842,7.734999656677246,2022
507,Gubbalala Kere,0.8574338523552612,70.2199983606115,5.464999675750732,2023
669,Gubbalala Kere,0.9749296432389916,90.87999772280456,7.404999732971191,2024
831,Gubbalala Kere,0.9553434270194536,94.41999849583954,7.704999923706055,2025
104,Gunjuru Lake,0.0,71.5749982856214,6.924999713897705,2020
266,Gunjuru Lake,0.0,70.74499854072928,3.994999885559082,2021
428,Gunjuru Lake,0.0,92.60049746092407,7.460000038146973,2022
590,Gunjuru Lake,0.0,55.97499892022461,5.690000057220459,2023
752,Gunjuru Lake,0.2027856453862362,90.74999806657434,7.625,2024
914,Gunjuru Lake,0.021853861135516,114.74499726854263,9.625,2025
